Experiment Date: 15 April 2024 Time: 2:20 plus
Start of Data Logging
Line Break

Start of Data Logging
Line Break
Internal_Air_Temp(degree celsius); 24.00;   24.31;   |Temp_substrate(degree celsius); -127.00;   23.75;   23.25;   |Moisture (AnalogRead); 583.00;   587.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 110.95;   |DHT22(%); 64.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.81;   24.12;   |Temp_substrate(degree celsius); -127.00;   23.50;   23.19;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 113.49;   |DHT22(%); 63.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.69;   24.06;   |Temp_substrate(degree celsius); -127.00;   23.31;   23.06;   |Moisture (AnalogRead); 583.00;   586.00;   583.00;   |Actual pH; 6.27;   |Methane(ppm); 113.49;   |DHT22(%); 64.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.62;   23.94;   |Temp_substrate(degree celsius); -127.00;   23.12;   22.94;   |Moisture (AnalogRead); 582.00;   587.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 113.49;   |DHT22(%); 64.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.87;   |Temp_substrate(degree celsius); -127.00;   23.06;   22.87;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 116.06;   |DHT22(%); 64.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.81;   |Temp_substrate(degree celsius); -127.00;   23.00;   22.81;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 116.06;   |DHT22(%); 65.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.94;   22.81;   |Moisture (AnalogRead); 583.00;   586.00;   582.00;   |Actual pH; 6.30;   |Methane(ppm); 117.37;   |DHT22(%); 65.60;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.69;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.75;   |Moisture (AnalogRead); 582.00;   586.00;   583.00;   |Actual pH; 6.34;   |Methane(ppm); 118.68;   |DHT22(%); 65.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.69;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.81;   |Moisture (AnalogRead); 583.00;   588.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 117.37;   |DHT22(%); 65.60;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.44;   23.69;   |Temp_substrate(degree celsius); -127.00;   22.87;   22.75;   |Moisture (AnalogRead); 582.00;   586.00;   582.00;   |Actual pH; 6.30;   |Methane(ppm); 118.68;   |DHT22(%); 65.90;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.75;   |Temp_substrate(degree celsius); -127.00;   22.94;   22.81;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 120.01;   |DHT22(%); 66.40;   |Fan Level; 0.00;   |
