Experiment Date: 15 April 2024 Time: 2:20 plus																			
Start of Data Logging																			
Line Break																			
																			
Start of Data Logging																			
Line Break	Internal_Air_Temp(degree celsius)																		
Internal_Air_Temp(degree celsius)	24	24.31	   |Temp_substrate(degree celsius)	-127	23.75	23.25	   |Moisture (AnalogRead)	583	587	583	   |Actual pH	6.3	   |Methane(ppm)	110.95	   |DHT22(%)	64	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.81	24.12	   |Temp_substrate(degree celsius)	-127	23.5	23.19	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.34	   |Methane(ppm)	113.49	   |DHT22(%)	63.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.69	24.06	   |Temp_substrate(degree celsius)	-127	23.31	23.06	   |Moisture (AnalogRead)	583	586	583	   |Actual pH	6.27	   |Methane(ppm)	113.49	   |DHT22(%)	64	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.62	23.94	   |Temp_substrate(degree celsius)	-127	23.12	22.94	   |Moisture (AnalogRead)	582	587	583	   |Actual pH	6.3	   |Methane(ppm)	113.49	   |DHT22(%)	64.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.87	   |Temp_substrate(degree celsius)	-127	23.06	22.87	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.3	   |Methane(ppm)	116.06	   |DHT22(%)	64.8	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.81	   |Temp_substrate(degree celsius)	-127	23	22.81	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.34	   |Methane(ppm)	116.06	   |DHT22(%)	65.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.75	   |Temp_substrate(degree celsius)	-127	22.94	22.81	   |Moisture (AnalogRead)	583	586	582	   |Actual pH	6.3	   |Methane(ppm)	117.37	   |DHT22(%)	65.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.44	23.69	   |Temp_substrate(degree celsius)	-127	22.87	22.75	   |Moisture (AnalogRead)	582	586	583	   |Actual pH	6.34	   |Methane(ppm)	118.68	   |DHT22(%)	65.5	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.69	   |Temp_substrate(degree celsius)	-127	22.87	22.81	   |Moisture (AnalogRead)	583	588	583	   |Actual pH	6.3	   |Methane(ppm)	117.37	   |DHT22(%)	65.6	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.44	23.69	   |Temp_substrate(degree celsius)	-127	22.87	22.75	   |Moisture (AnalogRead)	582	586	582	   |Actual pH	6.3	   |Methane(ppm)	118.68	   |DHT22(%)	65.9	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.75	   |Temp_substrate(degree celsius)	-127	22.94	22.81	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.3	   |Methane(ppm)	120.01	   |DHT22(%)	66.4	   |Fan Level	0	   |
